username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Tony Vaughan,562866860,Kent,2023-01-23 23:04:32,"Just look at that price list. With @sajidjavid testing the water this week with talk of pay-as-you-go GP fees, ever… https://t.co/KSsjlYSGMX",0,Twitter Web App,
Karen Price ☮️🌊🇺🇦 🌈 🌊💙,2725619570,"Federal Way, WA",2023-01-23 22:48:36,Cruel. #Florida #DeSantisDestroysFlorida #Medicare #RepublicansAreDestroyingAmerica #Conservatives #GOP… https://t.co/jiog3skLTN,0,Twitter Web App,
212Degrees,1519556157139865600,"Seattle, WA",2023-01-23 22:38:09,"@VP Nor should a Government try to mandate healthy citizens to take an experimental, health damaging vaccine that i… https://t.co/BkmXzNuUXW",0,Twitter for Android,
MultiCare Capital Partners,1557608068153692160,"Tacoma, WA",2023-01-23 22:37:31,What elements have you found useful in #ML model development in #healthcare? #MLOps #ClinOps #balancingtradeoffs,2,Twitter Web App,
Health Care For All,38489474,"Seattle, WA",2023-01-23 22:17:30,"The 2023 Legislative Session has begun! 
Check out this video where we first honor Senator David Frockt with our Li… https://t.co/37NoZ5YC6j",0,Twitter Web App,
Dean Da Costa,19741911,"Kent, Wa",2023-01-23 21:52:55,Seekout Healthcare and Nurses https://t.co/LFHiVbcXxc via @YouTube,0,Twitter Web App,
Dean Da Costa,19741911,"Kent, Wa",2023-01-23 21:50:32,Seekout Healthcare adn Nurses https://t.co/LFHiVbcXxc via @YouTube,0,Twitter Web App,
AlgosRus.com,946738256774705153,"Seattle, WA",2023-01-23 21:47:00,"Nurses are the heart of the healthcare system. Without them, our hospitals and clinics would not be able to functio… https://t.co/1Gq3L55EdE",0,Twitter Web App,
OliviaOfPNW 🇺🇦,1371150155748085761,"Seattle, WA",2023-01-23 21:28:41,"Just learned that there are trans people who got mad at finnster for donating $50K to trans Healthcare.

If you are… https://t.co/oZ03q94stj",0,Twitter Web App,
Corinne Stroum,3152877917,"Seattle, WA",2023-01-23 21:25:01,"Day 1 at @SCANHealthPlan, orientation breakout rooms get right to 🔥: ""what are the toughest problems facing… https://t.co/WxPdR8nC0p",1,Twitter for Android,
Daniel Newton (he/him),270131568,"Seattle, WA",2023-01-23 21:22:37,@RealJohnShoe @PramilaJayapal No I just think you fundamentally don't understand what I was asking for and thought… https://t.co/StMXBsOCHc,0,Twitter Web App,
Daniel Newton (he/him),270131568,"Seattle, WA",2023-01-23 21:17:54,"@RealJohnShoe @PramilaJayapal John, linking me failed bills doesn't prove the GOP cares. Bc if they cared those bil… https://t.co/Ew2DOWL00C",0,Twitter Web App,
Daniel Newton (he/him),270131568,"Seattle, WA",2023-01-23 21:16:42,@RealJohnShoe @PramilaJayapal Weird how you're linking me failed bills like they're proof the GOP cared enough to p… https://t.co/PtRwObOvZR,0,Twitter Web App,
Jana Lindstrom,1651472023,Everett WA,2023-01-23 21:12:58,@amyklobuchar If you want to talk healthcare…ObamaCare is the worst thing that ever happened to the US healthcare s… https://t.co/N1hezmomrJ,0,Twitter for iPhone,
Discovery Institute,2342516474,"Seattle, WA ",2023-01-23 21:12:49,"""Rather than taking responsibility for bad policy, however, Beijing instead left a scared and immunologically vulne… https://t.co/hUXxAEStZ8",1,Twitter Web App,
Renton Technical College,395379436,"Renton, WA",2023-01-23 21:10:00,"Tim Cooper, healthcare administrator, joins RTC Board of Trustees, succeeding longtime Trustee Kirby Unti: https://t.co/GokSY5fQdV",0,Sprout Social,
DivestSPD,1275567382195343360,"Seattle, Washington",2023-01-23 21:09:42,"Safe consumption sites are a cornerstone of Portugal’s healthcare-based approach to drug abuse, which has had remar… https://t.co/QSCETcqlS3",5,Twitter Web App,
KIRO 7,21116401,Seattle,2023-01-23 21:00:34,"The government hasn't implemented all recommendations to protect major systems, like healthcare and finances, from… https://t.co/eWHLqkZMsV",1,True Anthem,
JT Garwood,1408542982593138689,"Seattle, WA",2023-01-23 21:00:14,Wild truth: No technology platform in healthcare connects the clinical and operational,0,Tweet Hunter Pro,
Daniel Newton (he/him),270131568,"Seattle, WA",2023-01-23 20:51:32,@RealJohnShoe @PramilaJayapal Lying to me abt how they care abt my healthcare while they've made literally 0 effort… https://t.co/mKX8uec3Oe,0,Twitter Web App,
Tryten,398913456,"Seattle, WA",2023-01-23 20:45:24,It's essential for #Healthcare practices to provide accessible #VideoRemoteInterpreting services for deaf and hard-… https://t.co/1kHQzICEli,0,Twitter Web App,
Erik Cárdenas,25231617,"Seattle, WA",2023-01-23 20:36:35,Next week I'll be speaking on a virtual panel about the importance of bridging the healthcare inclusivity gap (Feb… https://t.co/ghoUAAJ5sN,2,Twitter Web App,
fiona stafford,1461544800050577409,"Bellevue, WA",2023-01-23 20:27:35,No different than Biden with the wealth he has accumulated from nefarious sources!…….  Liberals slam Biden's incomi… https://t.co/DTqYBmsqof,0,Twitter for iPhone,
"ID Integration, Inc.",2420930665,"Mukilteo, WA",2023-01-23 20:15:30,Care Traffic Control tracks the whereabouts of critical personnel and essential hospital equipment in real-time.  R… https://t.co/RrjHr2rpaQ,0,Sendible,
UL Metro Seattle,933831386,Seattle,2023-01-23 20:05:08,"Miss the healthcare open enrollment season? That’s fine. Urban League’s got your back.  

Our Health Navigators can… https://t.co/wv0dFqKOQx",1,Sprout Social,
_m__z,47743430,Kent,2023-01-23 19:51:07,"@LeeAndersonMP_ who do you think these people are? Do carers, pensioners, cleaners not paid enough to live without… https://t.co/CRzq77nyaX",0,Twitter for Android,
Donny,278899384,"Seattle, WA",2023-01-23 19:21:27,"Our entire livelihoods should not have to depend on the whims of a handful of executives and their investors.

Oh,… https://t.co/nSVHCN3oS1",0,Twitter Web App,
Gavin Graves,224830762,"Seattle, WA",2023-01-23 19:18:56,Join us as we evaluate the top 10 trends that affected and continue to shape the #HealthCare and #LifeSciences sect… https://t.co/3yqtAKkwyz,0,Dynamic Signal,
Tom Lee,1458109171329609728,"Tacoma, WA",2023-01-23 19:16:01,@SenTedCruz This will be a long war. The next battle is going to be when service members like me get out and years… https://t.co/2NzfJLPKBu,0,Twitter for iPhone,
Lori Steiner,53081702,"Kirkland, WA",2023-01-23 19:00:23,@laurenboebert @VP Prove your actually prolife by offering healthcare services before and after a child is born.,0,Twitter for Android,
Gates Foundation,17899109,"Seattle, Washington",2023-01-23 19:00:05,"“Where there's a solution that can improve livelihoods and save lives, we'll advocate persistently for it. We won't… https://t.co/p29M8ycVAG",7,Khoros Publishing App,
sam,1422262232931504138,"Seattle, WA",2023-01-23 18:52:51,@jeffjeff360 @AP Should at least be able to afford rent and expenses in the area you are working in with a 40hr wor… https://t.co/ppGMX5ThLw,0,Twitter for iPhone,
sam,1422262232931504138,"Seattle, WA",2023-01-23 18:50:19,"@AP if you’re at a speciality coffee shop where they are using actual espresso machines, dialing in coffee etc etc… https://t.co/KiRCzJz5yD",0,Twitter for iPhone,
NG,1327211539577794566,"Seattle, WA",2023-01-23 18:37:35,@POTUS We could have universal healthcare and save every family even more.,0,Twitter for iPhone,
QueenAnnePatti,91453839,Seattle ,2023-01-23 18:36:59,@ksorbs That’s your opinion. Opinions aren’t facts. People should mind their own business about the healthcare of others….now THATS a fact.,2,Twitter for iPhone,
Erin Papworth,776944944334245888,"Seattle, WA",2023-01-23 18:08:30,"Keeping us healthy: Why financial wellness is an opportunity for value-based care. #healthcare #financialplanning 
https://t.co/WTWyR3tjC6",1,Twitter Web App,
Lindsay Farny she/her,32921777,"Seattle, WA",2023-01-23 17:54:23,i really really hate giving praise to tech billionaires but tim cook cut his salary instead of doing a layoff so ma… https://t.co/b7i24bvved,0,Twitter Web App,
The Elegant Fool,1095762667812331526,"Seattle, WA",2023-01-23 17:52:44,@GrahamAllen_1 Universal healthcare! Childcare! Living wage! Right to food and clean water! You're so wise.,0,Twitter for Android,
Max,23502370,Seattle,2023-01-23 17:50:09,"@slaterdesign Agreed, the healthcare aspect is worse than anything else about the lay off situation.

If you're eve… https://t.co/UdvEGN0cCg",0,Twitter Web App,
kryphos,15528118,"Seattle, WA",2023-01-23 17:38:03,"@SouthernPansy @NicholasTyrone Hate is not a luxury, but the most powerful emotion. To win elections, Tories have t… https://t.co/lxnFeMu6o6",0,Twitter Web App,
emmapayne,11592142,Seattle,2023-01-23 17:12:01,"Honored that @help_texts is a Sharp Index Awards Technology finalist. We are in good company with @AutomationAnywh,… https://t.co/y0ExC0wRFt",2,Twitter Web App,
Volyund,61621863,"Seattle, WA",2023-01-23 17:05:21,@rednekBC @tbone9966 @darryldjd @gmbutts Absolutely not true. Government has spent tens -hundreds of thousands on s… https://t.co/KkTOY5Ubh2,0,Twitter for Android,
Help Texts,908202142183301121,"Seattle, WA",2023-01-23 17:02:55,"Incredibly honored to be a Sharp Index Awards Technology finalist. 
We are in good company with @AutomationAnywh… https://t.co/vJyFCC8Uzg",2,Loomly,
TheGreatWhiteTRASH #Unvaccinated.,1271105626081378304,"Seattle, WA",2023-01-23 16:52:07,"@ValerieS12 @AndySwan I've noticed that the ""Covid-19 vaccination is absolutely a prerequisite for this job"", notic… https://t.co/4AL96SjCUi",0,Twitter Web App,
JZ Murdock-Writer/Filmmaker,133481625,"Bremerton, WA",2023-01-23 16:30:56,"Or a female POTUS. America is still broken. Not like the GOP, but still a form of broken. Not like the Republican P… https://t.co/N1N8fcDG9L",0,Twitter Web App,
Vālant EHR,16632321,"Seattle, WA",2023-01-23 16:28:59,"Here's a revolutionary idea: when you are able to gauge your patients' symptoms accurately, you can get a clearer a… https://t.co/AkwO3hxm7N",0,Twitter Web App,
🇺🇸Deplorable Ivar🇺🇸✝️🙏🏻,1252086040392654848,"Seattle, WA",2023-01-23 16:08:06,@RBReich The difference that you fail to see is that abortion is not healthcare.  It is murder.   The two topics do… https://t.co/1EYjTEzggQ,0,Twitter for iPhone,
Mosio | for Research,11006,San Francisco | Seattle,2023-01-23 16:00:47,Telehealth Can Support Care of Young Children with Developmental Delay https://t.co/fT5zzBSb3x #telehealth… https://t.co/MJWoLixnrm,1,Buffer,
The Free-Market Progressive 🌐,1003042748360867841,"Seattle, WA",2023-01-23 15:57:38,@micah_erfan Fully government-funded healthcare but only up to age 19,0,Twitter for Android,
TMJ-SEA IT-DB Jobs,24742509,"Seattle, WA",2023-01-23 15:57:23,"On top of the four-day workweek option, #SAIC is also implementing increased paid family leave, recognizing Junetee… https://t.co/gZ9xEl4ZQp",0,CareerArc 2.0,"{'type': 'Point', 'coordinates': [-122.2284532, 47.3073228]}"
Tamer Y. Abouzeid,1112725735544930305,"Seattle, WA",2023-01-23 15:47:48,"Social housing. Density. Rent, development, and ownership controls. In other words, the solution is to de-commodify… https://t.co/i8L5AHMmfF",0,Twitter Web App,
Serrah Linares,53206785,"Seattle, WA",2023-01-23 15:45:37,Dollar General pilots mobile clinics as it targets a bigger presence in healthcare https://t.co/bbbYSKpdbk,1,Twitter for Android,
Sports Poltics Real estate,1021052437,"Seattle, WA",2023-01-23 15:45:36,@EddieSaumell @aldwords @BuenoForMiami @545SmashTag You should see how many American travel to Mexico for healthcar… https://t.co/NjPIcjayhk,0,Twitter for iPhone,
Sports Poltics Real estate,1021052437,"Seattle, WA",2023-01-23 15:43:33,@aldwords @BuenoForMiami @545SmashTag No they point exactly to what she says free market with heavy social programs… https://t.co/xq2vxJULuA,0,Twitter for iPhone,
tweet_and_run,1543672953367195648,seattle,2023-01-23 15:37:03,@TimOnTheTractor It’s Not healthcare … in America it is “Wealthcare” … Oh and trickle down really is piss!,1,Twitter for iPhone,
Verlis,562625384,"Seattle, WA",2023-01-23 15:19:16,@TheBabylonBee Just had a conversation with someone defending the Canadian healthcare system saying socialized healthcare works...,1,Twitter Web App,
Cayuga Comm College,15250723,Auburn,2023-01-23 15:18:26,Friday is the #Fall2023 deadline to apply for our #Nursing program! Submit your application today and join one of t… https://t.co/1zuAxzHlhB,0,Twitter Web App,
A Vast Ocean of Joy,220712660,Seattle,2023-01-23 15:17:58,Because of course we’re still seeing similar behavior around male control of birth control and women’s healthcare n… https://t.co/jWKpAJSsiI,0,Twitter Web App,
the protagonist,902981470503018501,Seattle ,2023-01-23 15:11:33,@laurenboebert @VP Universal healthcare is happiness for me,0,Twitter Web App,
David Talby,51360810,"Seattle, WA",2023-01-23 14:14:00,"The #DataScience in #Healthcare LinkedIn group just crossed 10,000 members. It was chosen by LinkedIn last year as… https://t.co/OxA8Q7HyTW",0,LinkedIn,
Matt Heinz,1069351,"Redmond, WA",2023-01-23 14:09:07,Developing a Content Strategy for the Healthcare Industry https://t.co/zZoABMa5NH,0,dlvr.it,
Everything Microsoft,20439140,C:\Redmond,2023-01-23 14:01:36,Genomic Data Storage in Azure: Basic Compression for Mapped Sequencing Data https://t.co/zfKe4dlTK2,0,dlvr.it,
AlgosRus.com,946738256774705153,"Seattle, WA",2023-01-23 13:58:00,Are you a doctor looking for a flexible way to provide telemedicine services? Join our on-demand platform and set y… https://t.co/YEUO46e68f,0,Twitter Web App,
"Wayne M. Weil, MD",266455371,"Seattle, WA",2023-01-23 13:00:00,"Is 'frozen shoulder' a genetic condition? Study finds links to specific genes.
https://t.co/ixtEI3s5S0",0,Twitter Web App,
Everything Microsoft,20439140,C:\Redmond,2023-01-23 09:57:03,Benchmarking the NVIDIA Clara Parabricks for Secondary Genomics Analysis on Microsoft Azure https://t.co/DByic0sZIV,0,dlvr.it,
Kent Care Professionals,1485703321356800007,Kent,2023-01-23 09:01:11,"So many career paths for you to follow in healthcare.
Watch this video to learn more about the many different job t… https://t.co/rSZtuHU1bD",0,Adobe Express,
FastFoodDiet,1387996094760579136,"Seattle, WA",2023-01-23 08:28:53,"@dmalcolmcarson @the_transit_guy Bullshit. Funny right wingers used ""US pays for EU healthcare trope"" until they we… https://t.co/Rw51i2eLPo",0,Twitter Web App,
sammmmm,1205037343234617344,"Seattle, WA",2023-01-23 08:08:40,"@butlerm23 @SueRobbins31 “Haha, I gotcha, you see there’s no bill that prevents them from receiving ANY healthcare,… https://t.co/JhD7Gs5YKl",0,Twitter for iPhone,
sammmmm,1205037343234617344,"Seattle, WA",2023-01-23 07:59:44,"@butlerm23 @SueRobbins31 Let me spell it out for you, treatments are a part of healthcare, so when you say healthca… https://t.co/3L6qw5BCBj",0,Twitter for iPhone,
sammmmm,1205037343234617344,"Seattle, WA",2023-01-23 07:54:14,@butlerm23 @SueRobbins31 What works are you living in that separates “treatment” and “healthcare”. For someone who… https://t.co/m7pTl7kaI1,0,Twitter for iPhone,
Blujay,1586060822270222336,"Seattle, Washington",2023-01-23 06:11:46,"@GOP Do tell us what that GOP have done about gun violence, minimum wage, Social Security, Medicare, housing, infra… https://t.co/iQI97nCXzJ",0,Twitter Web App,
Incineroar King,4610997390,"Seattle, WA",2023-01-23 05:46:38,"@ninaturner They will be paid how? You will be paying them with increased taxes, yes on everyone not just high earn… https://t.co/ybBK9njSOk",0,Twitter for Android,
The Predictament 🪳,108147380,"Seattle, WA",2023-01-23 05:12:44,@InlawsOutlaws @DrElizabethDC @GovInslee Do you believe that the efficacy data and emerging SE profile of the vax w… https://t.co/NlCV0MeTVU,0,Twitter for iPhone,
Margery the Munificent,865892726,"Maple Valley, WA",2023-01-23 04:54:06,@yesthatteacher Social workers and healthcare workers and teachers-the three riders of society.,0,Twitter for iPhone,
Kiera Sutton,443253633,Seattle,2023-01-23 04:41:57,katyscartoons: Next time transphobes call trans healthcare “experimental” you can show them thisALT https://t.co/q6GkqnNpWW,0,Tumblr,
Kurtatwork,1159213523987095552,"Edmonds, WA",2023-01-23 04:32:42,"@RBReich Big govt peddling and dominating even more ruinous and toxic ""healthcare"" .... perfect.",0,Twitter for Android,
Carrie LaMarr,162908023,"Seattle, WA",2023-01-23 04:03:46,"@Homebrewmanjp @NHSMillion Well except for non-covered costs, pre-existing conditions, lifetime maximums &amp; that ""ca… https://t.co/LDWWrLuIS7",0,Twitter Web App,
Karen Price ☮️🌊🇺🇦 🌈 🌊💙,2725619570,"Federal Way, WA",2023-01-23 04:01:39,We must have preventive #Healthcare. That's why #MedicareForAll works. Our healthcare system is 37th in the world &amp;… https://t.co/jhcMXJNGwu,1,Twitter Web App,
Karen Price ☮️🌊🇺🇦 🌈 🌊💙,2725619570,"Federal Way, WA",2023-01-23 03:34:39,Stop listening to #MAGARepublicans who just want to keep federal money sent for #COVID19 treatment that is PROVEN t… https://t.co/dTmjLR0K3O,0,Twitter Web App,
Safe Lynnwood,1610048554130898944,"Lynnwood, WA",2023-01-23 03:28:37,@DragonCityUSA @choeshow @WADeptHealth @GovInslee @lynnwood Quick recap on all the concerns with this plan( a locat… https://t.co/4ne9uPgWfR,0,Twitter for iPhone,
Kevin Parlon,633417264,Seattle,2023-01-23 03:07:33,"@Independent_ie To free healthcare, housing, education and spending money? Get real.",0,Twitter for Android,
NancoixSeattle,53319232,"Seattle, WA",2023-01-23 03:03:17,@11demo11 @Angry_Staffer That may have been a motive but it's not how it actually works. Reps don't get free health… https://t.co/Q6quKkrWtJ,0,Twitter Web App,
Jack Rack,1604144113833893889,Seattle,2023-01-23 02:52:36,@lxeagle17 I wonder what’s the end game here for Santos. Most likely he loses in 2024 and it’s not like he will get… https://t.co/LHK6A5tPcB,0,Twitter for iPhone,
Ben,35095745,"Seattle, WA",2023-01-23 02:51:21,"America got it wrong on healthcare. It's as simple as that.

We can do it like a real country if we choose to. It's… https://t.co/0Dgl19ITT0",1,Twitter for Android,
"Hayley Mathews, M.A.",703274101629014016,"Tacoma, WA",2023-01-23 02:41:39,@DerekMYoung @SenEmilyRandall This bill sounds awesome! It feels like non-Catholic healthcare options are disappearing all the time.,0,Twitter for iPad,
Kristen Mag,194596555,"Seattle, WA",2023-01-23 01:59:56,"@EWoodhouse7 Flu testing only happens in healthcare settings. If everyone is at home due to the stay-home orders, w… https://t.co/LIE3Hf2q6a",5,Twitter for iPad,
sammmmm,1205037343234617344,"Seattle, WA",2023-01-23 01:27:54,@butlerm23 @SueRobbins31 @RetAT12022 Love how you said there’s no bill prohibiting trans youth from playing sports… https://t.co/M69Apvp3qq,0,Twitter for iPhone,
The Elegant Fool,1095762667812331526,"Seattle, WA",2023-01-23 01:05:40,@lisa_liberal @catturd2 The same people who don't have decent healthcare and blame vaccines the moment they have an actual medical issue.,0,Twitter Web App,
Leftwing_Birdman,3271282116,"Seattle, WA",2023-01-23 00:55:58,@DrMJBunting @Kalanyr @mbsycamore It’s a solution that would lead to the amelioration or elimination of the vast ma… https://t.co/lJzrq5ahQh,0,Twitter for iPhone,
Mr. Nurse,1445732864205615108,Seattle,2023-01-23 00:53:35,@TheLiberTexian @ninaturner Our healthcare system has collapsed. I’d argue private companies are no better. For exa… https://t.co/kmDIW3VMxC,0,Twitter Web App,
Mr. Nurse,1445732864205615108,Seattle,2023-01-23 00:39:59,@TheLiberTexian @ninaturner If we all pay our taxes it would be free and save the country money. Take a look at the… https://t.co/sxBr7pjUqD,0,Twitter Web App,
Carrie LaMarr,162908023,"Seattle, WA",2023-01-23 00:29:44,"@KevinGSWatt @ColleenBower @DrAmirKhanGP The following US healthcare companies are already based in the UK.

Anthem… https://t.co/CFr8s2Kksw",0,Twitter for iPhone,
Carrie LaMarr,162908023,"Seattle, WA",2023-01-23 00:13:56,@KevinGSWatt @ColleenBower @DrAmirKhanGP Hopefully the NHS can improve when there’s so many effective healthcare sy… https://t.co/hsA9OKZ33o,0,Twitter for iPhone,
Hunter Biden's Crack Pipe🇵🇼🇧🇸🇰🇿,1350312084601405441,Seattle,2023-01-23 00:04:01,@whatawiseguy @RyLiberty This is much more clearly a boondoggle for the American military industrial complex than i… https://t.co/wBra50s6zq,0,Twitter Web App,
Mr. Nurse,1445732864205615108,Seattle,2023-01-23 00:00:09,@Carrollsaz @ninaturner Did you know in healthcare you don’t get a choice of a room or even a hospital right now? W… https://t.co/h4lEY8wYhF,0,Twitter Web App,
Liz,27096827,"Seattle, WA",2023-01-22 23:53:39,@tauriqmoosa Obviously his handlers are trying to cut on personnel costs and don’t want to deal with Hitman healthc… https://t.co/dVAuybS6UI,0,Twitter for iPhone,
Uncle Sebastian,1038444748862672896,"Tacoma, WA",2023-01-22 23:43:34,Never in my life have I been more mad at anything than I am at healthcare rn,0,Twitter for Android,
GhostfaceTeacher,1312444366586179585,"Seattle, WA",2023-01-22 23:38:21,@GabrielMyCat @hugh_mankind They are democratic socialist and if their socialized healthcare isn't working then why… https://t.co/jF9gqloZQS,0,Twitter for Android,
Kathleen Lovlie,608233160,"Bremerton, WA",2023-01-22 23:32:25,@Brian01059283 @CarpeDonktum Tell that to a woman with uterine sepsis. Or toxemia. Or an ectopic. Or hemorrhage. Or… https://t.co/zZidYGJE07,0,Twitter for iPhone,
2PartySystemSucks,1589781744001028096,"Mercer Island, WA",2023-01-22 23:28:44,@marxseventh @Jaybefaunt As long as big pharmaceutical and government are involved in healthcare. U healthcare will… https://t.co/SLUFp0c0Tg,0,Twitter for iPhone,
The Elegant Fool,1095762667812331526,"Seattle, WA",2023-01-22 22:42:53,"@GrahamAllen_1 Agreed!!! It needs a brown savior who believes in helping the poor, throwing out the rich, and providing free healthcare!",0,Twitter Web App,
Sean Bartley,14516237,"Seattle, WA",2023-01-22 22:37:22,Abortion is healthcare. ✌️ https://t.co/ngUiC2ejep,1,Twitter for iPhone,
Ethan Davenport🌽🌽🌽🌽,750173103976689664,"Seattle,WA",2023-01-22 22:30:25,"@RoyMueller13 @ninaturner Better transit, healthcare, tuition free college, high speed rail, walkable cities, legal… https://t.co/EaymkIAozZ",0,Twitter for Android,
Seattlegirl Reno,2324526006,"Seattle, WA",2023-01-22 22:26:00,@carriemf Says a guy who has free gov't healthcare for life #GFOH,0,Twitter for Android,
Jana Lindstrom,1651472023,Everett WA,2023-01-22 22:06:36,@prageru Education or healthcare,0,Twitter for iPhone,
AntoinetteBonsignore,219855077,"Kirkland, WA",2023-01-22 21:52:36,The criminalization of abortion care hurts Black and brown people the most. Everyone deserves to make their own hea… https://t.co/AvhTkglTqy,0,Twitter for iPad,
Dan,35301567,"Seattle, WA",2023-01-22 21:33:35,@maqart55 @AlbrechtEmilyA “Lethal risks of pregnancy”.  Such as the 0.0067 % of deaths  during pregnancy (as a perc… https://t.co/tyLiOdLyGg,0,Twitter for iPhone,
Seattle Dad ,822807935394775040,"Seattle, WA",2023-01-22 21:23:42,@CanuckCutie2007 @Urtoez75_2 @theladykatie @spooniechels Canada has some funny ideas about what is considered healt… https://t.co/JIPv25BpNc,0,Twitter for iPad,
push the needle,2997967610,Seattle Washington,2023-01-22 21:16:07,"@theSageford @jwhittenbergK5 and eventually have a parliament with no senate. more functional. healthcare, etc",0,Twitter for iPhone,
H3INZ57,47158742,"Seattle, Washington",2023-01-22 21:13:29,"@Abymarie6 There’s a whole chain of industries that get paid if people are sick, pharma, healthcare, insurance, funeral homes, florists etc",0,Twitter for iPhone,
Suz,965318306998734848,Kent ,2023-01-22 21:06:05,@RHW11Mar @FreddieBailey96 Clearly not enough to be able to willingly pay for healthcare above the tax already taken,0,Twitter Web App,
Mosio | for Research,11006,San Francisco | Seattle,2023-01-22 21:06:01,Machine Learning-Triggered Reminders Improve End-of-Life Cancer Care https://t.co/AlN3bJMIxL #MachineLearning #ML… https://t.co/MDKaZBOVYM,1,Buffer,
Congresswoman Marilyn Strickland,1343646545955213312,"South Puget Sound, WA",2023-01-22 20:43:32,"Today we commemorate the 50th anniversary of #RoeVWade, a landmark Supreme Court decision that protected abortion a… https://t.co/0V9PvUNtsm",4,Twitter for iPhone,
Karen Price ☮️🌊🇺🇦 🌈 🌊💙,2725619570,"Federal Way, WA",2023-01-22 20:29:22,Healthcare to #MAGARebuplicans really is about #CorporateGreed NOT #TaxPayers' #Health. Their hand is always out. T… https://t.co/1hE0ePYSBS,0,Twitter Web App,
Payscale,24800281,"Seattle, Washington",2023-01-22 20:13:00,"The U.S. is expected to add 8.4 million #newjobs by 2031, according to the latest @BLS_gov’s job projections, with… https://t.co/nSBaO1fO2G",0,Sprout Social,
Leftwing_Birdman,3271282116,"Seattle, WA",2023-01-22 20:08:24,@DrMJBunting @Kalanyr @mbsycamore We need a real healthcare system. The US cut more than 1/3 of hospital beds since… https://t.co/cD0m3fA037,0,Twitter for iPhone,
Seattle Dad ,822807935394775040,"Seattle, WA",2023-01-22 19:51:17,"@BlueFemmeNWF @40wattbulb @theladykatie “These suffering women”? 

Pregnant women who are suffering for the reasons… https://t.co/LuTdfkmcvR",0,Twitter for iPad,
